               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.019786,           0.0053066,                   0,             0.99954,                   1,               0.995,             0.71493,            0.023222,           0.0029733,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.019057,            0.005316,                   0,               0.999,             0.98718,             0.98732,             0.71204,            0.023612,           0.0029538,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.018807,           0.0048806,                   0,                   1,             0.99962,               0.995,             0.70555,            0.023675,           0.0029783,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.018845,           0.0050549,                   0,             0.99947,                   1,               0.995,             0.71094,            0.022985,           0.0030178,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.018719,           0.0048402,                   0,             0.99926,                   1,               0.995,              0.7138,            0.022158,           0.0029227,                   0,            0.001684,            0.001684,            0.001684
                  44,             0.01751,           0.0049218,                   0,             0.99923,                   1,               0.995,             0.72297,             0.02225,           0.0029205,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.017765,           0.0049193,                   0,             0.99917,                   1,               0.995,             0.71813,            0.022524,           0.0028954,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.018215,           0.0048346,                   0,             0.99922,                   1,               0.995,             0.71874,            0.022963,           0.0029508,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.018078,           0.0051275,                   0,             0.99916,                   1,               0.995,             0.72331,            0.022629,            0.002885,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.018023,           0.0047561,                   0,             0.99904,                   1,               0.995,             0.72646,            0.022661,           0.0029031,                   0,            0.000694,            0.000694,            0.000694
                  49,             0.01681,           0.0045993,                   0,               0.999,                   1,               0.995,             0.72164,             0.02247,           0.0028893,                   0,            0.000496,            0.000496,            0.000496
